,Unnamed: 0.1,Unnamed: 0,date,symbol,open,high,low,close,volume,rsi
168,168,168,2024-01-01,GOLDENTOBC,49.0,60.900001525878906,48.09999847412109,53.70000076293945,182967,46.07606471489465
169,169,169,2024-02-01,GOLDENTOBC,53.70000076293945,61.70000076293945,51.5,56.34999847412109,205474,47.67537819663678
170,170,170,2024-03-01,GOLDENTOBC,56.34999847412109,59.5,37.29999923706055,37.54999923706055,218327,38.868089545600704
171,171,171,2024-04-01,GOLDENTOBC,37.54999923706055,50.150001525878906,37.5,43.04999923706055,57366,42.23039395727571
172,172,172,2024-05-01,GOLDENTOBC,43.04999923706055,43.04999923706055,36.900001525878906,38.84999847412109,22634,40.402912019980725
173,173,173,2024-06-01,GOLDENTOBC,39.0,47.9900016784668,38.45000076293945,43.79999923706055,107468,43.505842710485695
174,174,174,2024-07-01,GOLDENTOBC,43.0,46.59999847412109,40.75,42.4900016784668,59532,42.86971035133338
175,175,175,2024-08-01,GOLDENTOBC,42.4900016784668,44.0,39.0099983215332,41.20000076293945,117292,42.215116219734725
176,176,176,2024-09-01,GOLDENTOBC,43.0,43.310001373291016,40.0,42.790000915527344,65506,43.36304070177653
177,177,177,2024-10-01,GOLDENTOBC,43.0,43.29999923706055,36.0,38.619998931884766,108933,41.05929598811805
178,178,178,2024-11-01,GOLDENTOBC,40.54999923706055,42.4900016784668,37.04999923706055,40.02000045776367,38819,42.170116452540654
179,179,179,2024-12-01,GOLDENTOBC,40.90999984741211,43.29999923706055,37.5,39.0,49992,41.55562630176904
180,180,180,2025-01-01,GOLDENTOBC,38.900001525878906,41.38999938964844,36.0099983215332,37.0099983215332,42611,40.32115541041666
