,SYMBOL,NAME OF COMPANY,macro,sector,industry,basicIndustry
136,ARENTERP,Rajdarshan Industries Limited,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Minerals
137,ARIES,Aries Agro Limited,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
138,ARIHANTCAP,Arihant Capital Markets Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
139,ARIHANTSUP,Arihant Superstructures Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
140,ARKADE,Arkade Developers Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
141,ARMANFIN,Arman Financial Services Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
142,AROGRANITE,Aro Granite Industries Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Granites & Marbles
143,ARROWGREEN,Arrow Greentech Limited,Industrials,Capital Goods,Industrial Products,Packaging
144,ARSHIYA,Arshiya Limited,Services,Services,Transport Services,Logistics Solution Provider
145,ARTEMISMED,Artemis Medicare Services Limited,Healthcare,Healthcare,Healthcare Services,Hospital
146,ARTNIRMAN,Art Nirman Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
147,ARVEE,Arvee Laboratories (India) Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
148,ARVIND,Arvind Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
149,ARVINDFASN,Arvind Fashions Limited,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
150,ARVSMART,Arvind SmartSpaces Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
151,ASAHIINDIA,Asahi India Glass Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
152,ASAHISONG,Asahi Songwon Colors Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments
153,ASAL,Automotive Stampings and Assemblies Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
154,ASALCBR,Associated Alcohols & Breweries Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
155,ASHAPURMIN,Ashapura Minechem Limited,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals
156,ASHIANA,Ashiana Housing Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
157,ASHIMASYN,Ashima Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
158,ASHOKA,Ashoka Buildcon Limited,Industrials,Construction,Construction,Civil Construction
159,ASHOKAMET,Ashoka Metcast Limited,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Metals
160,ASHOKLEY,Ashok Leyland Limited,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles,Commercial Vehicles
161,ASIANENE,Asian Energy Services Limited,Energy,Oil Gas & Consumable Fuels,Oil,Oil Equipment & Services
162,ASIANHOTNR,Asian Hotels (North) Limited,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
163,ASIANPAINT,Asian Paints Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints
164,ASIANTILES,Asian Granito India Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics
165,ASKAUTOLTD,ASK Automotive Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
166,ASMS,Bartronics India Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services
167,ASPINWALL,Aspinwall and Company Limited,Services,Services,Transport Services,Logistics Solution Provider
168,ASTEC,Astec LifeSciences Limited,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
169,ASTERDM,Aster DM Healthcare Limited,Healthcare,Healthcare,Healthcare Services,Hospital
170,ASTRAL,Astral Limited,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial
171,ASTRAMICRO,Astra Microwave Products Limited,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
172,ASTRAZEN,AstraZeneca Pharma India Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
173,ASTRON,Astron Paper & Board Mill Limited,Commodities,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products
174,ATALREAL,Atal Realtech Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
175,ATAM,Atam Valves Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
176,ATFL,Agro Tech Foods Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
177,ATGL,Adani Total Gas Limited,Energy,Oil Gas & Consumable Fuels,Gas,LPG/CNG/PNG/LNG Supplier
178,ATL,Allcargo Terminals Limited,Services,Services,Transport Infrastructure,Port & Port services
179,ATLANTAA,ATLANTAA LIMITED,Services,Services,Transport Infrastructure,Road Assets - Toll Annuity Hybrid-Annuity
180,ATLASCYCLE,Atlas Cycles (Haryana) Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Cycles
181,ATUL,Atul Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
182,ATULAUTO,Atul Auto Limited,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles,Commercial Vehicles
183,AUBANK,AU Small Finance Bank Limited,Financial Services,Financial Services,Banks,Other Bank
184,AURIONPRO,Aurionpro Solutions Limited,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
185,AUROPHARMA,Aurobindo Pharma Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
186,AURUM,Aurum PropTech Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services
187,AUSOMENT,Ausom Enterprise Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches
188,AUTOAXLES,Automotive Axles Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
189,AUTOIND,Autoline Industries Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
190,AVADHSUGAR,Avadh Sugar & Energy Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
191,AVALON,Avalon Technologies Limited,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
192,AVANTEL,Avantel Limited,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
193,AVANTIFEED,Avanti Feeds Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Animal Feed
194,AVG,AVG Logistics Limited,Services,Services,Transport Services,Logistics Solution Provider
195,AVL,Aditya Vision Limited,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
196,AVONMORE,Avonmore Capital & Management Services Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
197,AVROIND,AVRO INDIA LIMITED,Consumer Discretionary,Consumer Durables,Consumer Durables,Plastic Products - Consumer
198,AVTNPL,AVT Natural Products Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
199,AWFIS,Awfis Space Solutions Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
200,AWHCL,Antony Waste Handling Cell Limited,Utilities,Utilities,Other Utilities,Waste Management
201,AWL,Adani Wilmar Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
202,AXISBANK,Axis Bank Limited,Financial Services,Financial Services,Banks,Private Sector Bank
203,AXISCADES,AXISCADES Technologies Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services
204,AXITA,Axita Cotton Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
205,AYMSYNTEX,AYM Syntex Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
206,AZAD,Azad Engineering Limited,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
207,BAFNAPH,Bafna Pharmaceuticals Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
208,BAGFILMS,B.A.G Films and Media Limited,Consumer Discretionary,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production
209,BAIDFIN,Baid Finserv Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
210,BAJAJ-AUTO,Bajaj Auto Limited,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers
