date,symbol,open,high,low,close,volume
2024-05-01,STYRENIX,1618.444126786266,1850.5456849782017,1512.7476631171014,1733.540283203125,894060
2024-06-01,STYRENIX,1747.7376842603721,2221.634064754501,1492.2840122755497,2106.04833984375,2606193
2024-07-01,STYRENIX,2116.8186061633755,2674.1853439573456,2067.1280274316337,2565.012939453125,2984719
2024-08-01,STYRENIX,2566.579768993134,2819.8792953919074,2423.48054257307,2587.875732421875,1173777
2024-09-01,STYRENIX,2640.2192080891964,2666.741447540033,2294.586385902062,2431.80029296875,893397
2024-10-01,STYRENIX,2442.4389055284373,2644.3260760016146,2291.3699993657583,2472.573486328125,1045036
2024-11-01,STYRENIX,2491.9212228900183,2552.9326208405696,2281.8694835896185,2495.7314453125,625104
2024-12-01,STYRENIX,2494.890074250081,3063.5883437963726,2451.3457810065256,2887.431884765625,1577419
2025-01-01,STYRENIX,2910.0,3090.0,2410.550048828125,2479.449951171875,988230
2025-02-01,STYRENIX,2504.0,2724.75,2261.0,2325.35009765625,550436
2025-03-01,STYRENIX,2350.0,2857.449951171875,2220.5,2730.0,564725
2025-04-01,STYRENIX,2725.0,2950.0,2250.0,2753.699951171875,547790
2025-05-01,STYRENIX,2742.0,3184.39990234375,2620.10009765625,3153.5,689260
2025-06-01,STYRENIX,3213.60009765625,3498.0,3150.39990234375,3219.199951171875,929882
2025-07-01,STYRENIX,3228.0,3251.0,3090.699951171875,3177.5,317430
